 create table myDataTable ( id int , VehicleCondition varchar (250)   , Age varchar (250)   , Gender varchar (250)   , PassengerGender varchar (250)   , Season varchar (250)   , No_of_Passengers varchar (250)   , Plate_Number varchar (250)   , WeekofMonth varchar (250)   , DriverOccupation varchar (250)   , Speed int   , Label varchar (250)   );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(1   ,'Bad' , '21-40' , 'Male' , 'Female' , 'Bad' , 'three' , 'Bad' , 'Mid' , 'Govt' , 94 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(17   , 'Good' , '41-Above' , 'Male' , 'Female' , 'Good' , 'two' , 'Good' , 'Last' , 'NonGov' , 41 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(18   , 'Bad' , '41-Above' , 'Male' , 'Male' , 'Good' , 'one' , 'Good' , 'Last' , 'Govt' , 56 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(19   , 'Good' , '41-Above' , 'Female' , 'Female' , 'Bad' , 'three' , 'Good' , 'Mid' , 'Govt' , 69 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(20   , 'Bad' , '15-20' , 'Male' , 'Female' , 'Good' , 'three' , 'Bad' , 'Start' , 'NonGov' , 94 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(21   , 'Good' , '41-Above' , 'Female' , 'Male' , 'Good' , 'two' , 'Good' , 'Last' , 'NonGov' , 99 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(22   , 'Good' , '41-Above' , 'Female' , 'Male' , 'Good' , 'two' , 'Bad' , 'Start' , 'Govt' , 97 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(23   , 'Good' , '41-Above' , 'Female' , 'Female' , 'Good' , 'three' , 'Bad' , 'Mid' , 'NonGov' , 65 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(24   , 'Bad' , '21-40' , 'Male' , 'Male' , 'Bad' , 'two' , 'Good' , 'Mid' , 'NonGov' , 50 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(25   , 'Good' , '41-Above' , 'Male' , 'Male' , 'Good' , 'two' , 'Bad' , 'Mid' , 'Govt' , 83 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(26   , 'Good' , '21-40' , 'Female' , 'Male' , 'Bad' , 'one' , 'Good' , 'Last' , 'NonGov' , 46 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(27   , 'Good' , '21-40' , 'Male' , 'Female' , 'Good' , 'two' , 'Bad' , 'Mid' , 'Govt' , 91 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(28   , 'Bad' , '15-20' , 'Female' , 'Female' , 'Good' , 'two' , 'Good' , 'Mid' , 'Govt' , 43 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(29   , 'Good' , '41-Above' , 'Male' , 'Female' , 'Bad' , 'one' , 'Good' , 'Mid' , 'Govt' , 93 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(30   , 'Bad' , '21-40' , 'Female' , 'Female' , 'Good' , 'three' , 'Bad' , 'Mid' , 'NonGov' , 40 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(31   , 'Good' , '41-Above' , 'Male' , 'Male' , 'Bad' , 'two' , 'Bad' , 'Last' , 'Govt' , 48 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(32   , 'Bad' , '41-Above' , 'Male' , 'Male' , 'Good' , 'one' , 'Bad' , 'Last' , 'NonGov' , 45 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(33   , 'Bad' , '21-40' , 'Female' , 'Female' , 'Good' , 'one' , 'Bad' , 'Start' , 'NonGov' , 60 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(34   , 'Bad' , '41-Above' , 'Female' , 'Female' , 'Bad' , 'two' , 'Bad' , 'Last' , 'Govt' , 78 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(35   , 'Bad' , '41-Above' , 'Female' , 'Male' , 'Bad' , 'one' , 'Good' , 'Start' , 'NonGov' , 45 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(36   , 'Good' , '15-20' , 'Female' , 'Female' , 'Bad' , 'two' , 'Good' , 'Last' , 'Govt' , 88 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(37   , 'Bad' , '21-40' , 'Female' , 'Female' , 'Bad' , 'two' , 'Bad' , 'Mid' , 'NonGov' , 40 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(38   , 'Good' , '21-40' , 'Male' , 'Female' , 'Bad' , 'three' , 'Good' , 'Start' , 'Govt' , 69 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(39   , 'Bad' , '41-Above' , 'Male' , 'Female' , 'Good' , 'one' , 'Bad' , 'Start' , 'Govt' , 68 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(40   , 'Bad' , '21-40' , 'Male' , 'Male' , 'Good' , 'three' , 'Good' , 'Mid' , 'NonGov' , 52 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(41   , 'Bad' , '21-40' , 'Female' , 'Male' , 'Good' , 'three' , 'Good' , 'Last' , 'Govt' , 61 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(42   , 'Bad' , '21-40' , 'Male' , 'Female' , 'Good' , 'one' , 'Bad' , 'Start' , 'Govt' , 76 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(43   , 'Bad' , '41-Above' , 'Male' , 'Male' , 'Good' , 'three' , 'Bad' , 'Mid' , 'Govt' , 59 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(44   , 'Bad' , '15-20' , 'Male' , 'Male' , 'Bad' , 'one' , 'Bad' , 'Mid' , 'NonGov' , 80 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(45   , 'Good' , '21-40' , 'Female' , 'Male' , 'Good' , 'three' , 'Bad' , 'Mid' , 'NonGov' , 87 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(46   , 'Good' , '41-Above' , 'Female' , 'Female' , 'Bad' , 'one' , 'Good' , 'Start' , 'Govt' , 59 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(47   , 'Good' , '15-20' , 'Female' , 'Female' , 'Good' , 'two' , 'Good' , 'Mid' , 'Govt' , 56 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(48   , 'Good' , '21-40' , 'Female' , 'Female' , 'Bad' , 'three' , 'Good' , 'Mid' , 'NonGov' , 47 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(49   , 'Bad' , '15-20' , 'Male' , 'Female' , 'Bad' , 'three' , 'Good' , 'Start' , 'Govt' , 55 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(50   , 'Good' , '15-20' , 'Female' , 'Male' , 'Bad' , 'two' , 'Good' , 'Last' , 'Govt' , 60 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(51   , 'Good' , '41-Above' , 'Male' , 'Female' , 'Bad' , 'three' , 'Good' , 'Start' , 'NonGov' , 97 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(52   , 'Bad' , '41-Above' , 'Male' , 'Male' , 'Good' , 'two' , 'Good' , 'Start' , 'NonGov' , 56 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(53   , 'Good' , '41-Above' , 'Female' , 'Male' , 'Bad' , 'one' , 'Bad' , 'Mid' , 'NonGov' , 61 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(54   , 'Good' , '15-20' , 'Female' , 'Male' , 'Good' , 'three' , 'Good' , 'Start' , 'Govt' , 58 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(55   , 'Good' , '21-40' , 'Female' , 'Female' , 'Good' , 'two' , 'Bad' , 'Last' , 'Govt' , 89 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(56   , 'Good' , '15-20' , 'Male' , 'Male' , 'Good' , 'three' , 'Good' , 'Start' , 'Govt' , 95 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(57   , 'Bad' , '15-20' , 'Male' , 'Male' , 'Good' , 'one' , 'Good' , 'Start' , 'Govt' , 96 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(58   , 'Bad' , '15-20' , 'Male' , 'Female' , 'Good' , 'two' , 'Good' , 'Last' , 'Govt' , 88 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(59   , 'Bad' , '41-Above' , 'Male' , 'Female' , 'Good' , 'three' , 'Good' , 'Last' , 'Govt' , 57 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(60   , 'Bad' , '41-Above' , 'Male' , 'Female' , 'Bad' , 'two' , 'Good' , 'Last' , 'Govt' , 57 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(61   , 'Bad' , '21-40' , 'Male' , 'Female' , 'Bad' , 'two' , 'Good' , 'Mid' , 'NonGov' , 96 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(62   , 'Bad' , '41-Above' , 'Male' , 'Female' , 'Good' , 'three' , 'Good' , 'Mid' , 'NonGov' , 97 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(63   , 'Bad' , '41-Above' , 'Male' , 'Female' , 'Good' , 'three' , 'Bad' , 'Last' , 'NonGov' , 70 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(64   , 'Good' , '15-20' , 'Male' , 'Female' , 'Good' , 'two' , 'Good' , 'Last' , 'Govt' , 96 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(65   , 'Good' , '21-40' , 'Female' , 'Male' , 'Good' , 'one' , 'Good' , 'Mid' , 'Govt' , 45 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(66   , 'Good' , '15-20' , 'Female' , 'Female' , 'Bad' , 'two' , 'Good' , 'Last' , 'Govt' , 80 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(67   , 'Good' , '21-40' , 'Male' , 'Male' , 'Good' , 'three' , 'Good' , 'Last' , 'NonGov' , 71 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(68   , 'Bad' , '21-40' , 'Male' , 'Female' , 'Good' , 'two' , 'Bad' , 'Start' , 'NonGov' , 69 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(69   , 'Bad' , '41-Above' , 'Female' , 'Male' , 'Bad' , 'three' , 'Bad' , 'Last' , 'NonGov' , 60 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(70   , 'Good' , '21-40' , 'Female' , 'Female' , 'Good' , 'one' , 'Good' , 'Mid' , 'NonGov' , 45 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(71   , 'Good' , '21-40' , 'Male' , 'Male' , 'Bad' , 'three' , 'Good' , 'Last' , 'Govt' , 77 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(72   , 'Good' , '21-40' , 'Male' , 'Female' , 'Good' , 'one' , 'Good' , 'Start' , 'NonGov' , 43 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(73   , 'Bad' , '41-Above' , 'Male' , 'Female' , 'Good' , 'one' , 'Bad' , 'Last' , 'NonGov' , 97 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(74   , 'Bad' , '41-Above' , 'Male' , 'Male' , 'Bad' , 'two' , 'Good' , 'Last' , 'NonGov' , 49 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(75   , 'Good' , '21-40' , 'Female' , 'Male' , 'Bad' , 'one' , 'Good' , 'Mid' , 'NonGov' , 95 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(76   , 'Good' , '41-Above' , 'Male' , 'Female' , 'Bad' , 'three' , 'Bad' , 'Last' , 'Govt' , 95 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(77   , 'Good' , '15-20' , 'Female' , 'Female' , 'Bad' , 'three' , 'Good' , 'Last' , 'Govt' , 84 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(78   , 'Bad' , '15-20' , 'Male' , 'Male' , 'Good' , 'two' , 'Good' , 'Start' , 'NonGov' , 84 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(79   , 'Bad' , '21-40' , 'Male' , 'Female' , 'Good' , 'three' , 'Good' , 'Start' , 'Govt' , 96 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(80   , 'Good' , '15-20' , 'Female' , 'Male' , 'Bad' , 'three' , 'Bad' , 'Last' , 'NonGov' , 91 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(81   , 'Good' , '21-40' , 'Female' , 'Male' , 'Good' , 'three' , 'Good' , 'Start' , 'Govt' , 94 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(82   , 'Good' , '15-20' , 'Female' , 'Male' , 'Good' , 'three' , 'Good' , 'Start' , 'NonGov' , 55 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(83   , 'Good' , '21-40' , 'Female' , 'Male' , 'Good' , 'one' , 'Bad' , 'Start' , 'Govt' , 62 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(84   , 'Bad' , '15-20' , 'Female' , 'Female' , 'Bad' , 'three' , 'Good' , 'Last' , 'Govt' , 82 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(85   , 'Good' , '41-Above' , 'Male' , 'Male' , 'Good' , 'one' , 'Good' , 'Last' , 'NonGov' , 63 , 'No' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(86   , 'Good' , '41-Above' , 'Female' , 'Male' , 'Good' , 'three' , 'Good' , 'Last' , 'Govt' , 84 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(87   , 'Bad' , '15-20' , 'Female' , 'Female' , 'Good' , 'three' , 'Good' , 'Start' , 'NonGov' , 44 , 'Yes' );
 insert into myDataTable ( id ,  VehicleCondition , Age , Gender , PassengerGender , Season , No_of_Passengers , Plate_Number , WeekofMonth , DriverOccupation , Speed , Label ) values(88   , 'Bad' , '21-40' , 'Male' , 'Male' , 'Bad' , 'one' , 'Bad' , 'Start' , 'Govt' , 92 , 'Yes' );
